,item,index,level,area,log(area)
93,level0_133,0,0,12305,9.417760962825156
94,level0_134,0,0,15147,9.625557771527026
95,level0_135,0,0,24360,10.100697721823833
96,level0_135,1,0,16371,9.703266755854342
97,level0_135,2,0,13161,9.485013189834323
98,level0_136,0,0,18995,9.851931065621725
99,level0_137,0,0,25704,10.154401900795694
100,level0_138,0,0,25921,10.162808729968926
101,level0_139,0,0,13800,9.532423871145296
102,level0_139,1,0,15990,9.679718805828
103,level0_14,0,0,532,6.2766434893416445
104,level0_140,0,0,11449,9.345657668923812
105,level0_141,0,0,18666,9.834458966125691
106,level0_141,1,0,17710,9.781884730776879
107,level0_141,2,0,15982,9.679218367934409
108,level0_142,0,0,24288,10.097737680195356
109,level0_143,0,0,11960,9.389323027504624
110,level0_143,1,0,19126,9.858803944909488
111,level0_144,0,0,14145,9.557116483735667
112,level0_145,0,0,22338,10.014044543100772
113,level0_145,1,0,20010,9.903987427577778
114,level0_146,0,0,17940,9.794788135612787
115,level0_146,1,0,17940,9.794788135612787
116,level0_146,2,0,25857,10.16033663631551
117,level0_147,0,0,13910,9.540363284917488
118,level0_148,0,0,12420,9.42706335548747
119,level0_149,0,0,23345,10.058138107405037
120,level0_15,0,0,7700,8.948975607841776
121,level0_150,0,0,23506,10.0650109866928
122,level0_150,1,0,7700,8.948975607841776
123,level0_151,0,0,15860,9.671555495188839
124,level0_152,0,0,11385,9.34005197849784
125,level0_153,0,0,14030,9.548953173096507
126,level0_153,1,0,12052,9.396985900250192
127,level0_153,2,0,16100,9.686574550972555
128,level0_154,0,0,22218,10.008658050141667
129,level0_155,0,0,17388,9.763535592108683
130,level0_156,0,0,20148,9.91086030686554
131,level0_156,1,0,16371,9.703266755854342
132,level0_157,0,0,15622,9.656435456170243
133,level0_157,1,0,15622,9.656435456170243
134,level0_158,0,0,29568,10.294447974441411
135,level0_158,1,0,20787,9.94208307029549
136,level0_159,0,0,33327,10.414123158249833
137,level0_16,0,0,25760,10.15657818021829
138,level0_160,0,0,22185,10.00717166381301
139,level0_160,1,0,19803,9.893588720356881
140,level0_160,2,0,9576,9.16701524723781
141,level0_161,0,0,12200,9.409191230721348
142,level0_161,1,0,21970,9.997433165378656
143,level0_161,2,0,27048,10.205368344387722
144,level0_162,0,0,13161,9.485013189834323
145,level0_162,1,0,18850,9.844268192876157
146,level0_163,0,0,22330,10.013686344834204
147,level0_163,1,0,17958,9.795790977080754
148,level0_164,0,0,20930,9.948938815440046
149,level0_164,1,0,31152,10.34663372761198
150,level0_164,2,0,32384,10.385419752647138
151,level0_165,0,0,18078,9.802451008358355
152,level0_165,1,0,21316,9.967213243416673
153,level0_165,2,0,14812,9.603192942033504
154,level0_166,0,0,20148,9.91086030686554
155,level0_167,0,0,25760,10.15657818021829
156,level0_168,0,0,19044,9.85450737031441
157,level0_169,0,0,21170,9.96034036412891
158,level0_17,0,0,1008,6.915723448631314
159,level0_17,1,0,1722,7.451241684987676
160,level0_17,2,0,858,6.754604099487962
161,level0_17,3,0,1482,7.301147805856032
162,level0_170,0,0,37840,10.541122023165814
163,level0_170,1,0,26986,10.203073491990732
164,level0_171,0,0,18819,9.842622276764853
165,level0_172,0,0,18819,9.842622276764853
166,level0_172,1,0,11781,9.37424334324612
167,level0_172,2,0,13161,9.485013189834323
168,level0_172,3,0,8132,9.003562174748238
169,level0_173,0,0,15870,9.672185813520455
170,level0_174,0,0,30976,10.340967990076303
171,level0_174,1,0,15006,9.616205400105674
172,level0_175,0,0,19803,9.893588720356881
173,level0_175,1,0,22880,10.038018445493734
174,level0_176,0,0,35328,10.472431129636767
175,level0_177,0,0,13662,9.522373535291795
176,level0_178,0,0,23562,10.067390523806065
177,level0_179,0,0,16113,9.68738167857357
178,level0_179,1,0,12300,9.417354541360508
179,level0_18,0,0,624,6.436150368369428
180,level0_18,1,0,551,6.311734809152915
181,level0_180,0,0,21170,9.96034036412891
182,level0_181,0,0,16836,9.731274729890462
183,level0_182,0,0,14148,9.557328550325371
184,level0_182,1,0,8840,9.08704215563169
185,level0_182,2,0,10920,9.298351249298896
186,level0_183,0,0,19044,9.85450737031441
187,level0_184,0,0,25665,10.152883474994404
188,level0_184,1,0,23562,10.067390523806065
189,level0_185,0,0,23184,10.051217664560463
190,level0_185,1,0,34983,10.462617508188442
191,level0_185,2,0,32384,10.385419752647138
192,level0_186,0,0,35024,10.463788819762645
193,level0_186,1,0,25857,10.16033663631551
194,level0_187,0,0,30751,10.333677793031093
195,level0_188,0,0,23360,10.058780436942163
196,level0_188,1,0,41712,10.638544136173284
197,level0_189,0,0,34814,10.457774883712654
198,level0_189,1,0,49220,10.804055323945047
199,level0_189,2,0,40710,10.614229041497024
200,level0_189,3,0,29376,10.287933293420217
201,level0_189,4,0,29082,10.277874705073431
202,level0_19,0,0,483,6.180016653652572
203,level0_19,1,0,228,5.429345628954441
204,level0_19,2,0,361,5.8888779583328805
205,level0_190,0,0,20148,9.91086030686554
206,level0_190,1,0,47610,10.770798102188564
207,level0_192,0,0,25872,10.160916581816888
208,level0_193,0,0,22080,10.00242750039103
209,level0_193,1,0,21160,9.959867885972235
210,level0_194,0,0,29670,10.297891713284868
211,level0_194,1,0,19701,9.888424674859083
212,level0_194,2,0,28566,10.259972478422574
213,level0_194,3,0,17976,9.796792813865165
214,level0_195,0,0,27886,10.235880049754966
215,level0_196,0,0,38009,10.545578252771122
216,level0_197,0,0,19642,9.885425409717719
217,level0_197,1,0,25870,10.160839275180075
218,level0_197,2,0,75215,11.228105958131923
219,level0_198,0,0,37296,10.526641361275539
220,level0_198,1,0,67804,11.124376469238378
221,level0_198,2,0,16836,9.731274729890462
222,level0_2,0,0,28336,10.251888360022615
223,level0_2,1,0,24112,10.090464920866276
224,level0_2,2,0,27104,10.207436597451782
225,level0_20,0,0,520,6.253828811575473
226,level0_20,1,0,380,5.940171252720432
227,level0_20,2,0,378,5.934894195619588
228,level0_202,0,0,17595,9.775370049755686
229,level0_202,1,0,29376,10.287933293420217
230,level0_203,0,0,23506,10.0650109866928
231,level0_203,1,0,16836,9.731274729890462
232,level0_203,2,0,27048,10.205368344387722
233,level0_204,0,0,15129,9.624368710744834
234,level0_204,1,0,29744,10.300382709961225
235,level0_205,0,0,38009,10.545578252771122
236,level0_205,1,0,33856,10.429871515217972
237,level0_205,2,0,24633,10.111842286376898
238,level0_206,0,0,16100,9.686574550972555
239,level0_207,0,0,27084,10.206698426605536
240,level0_209,0,0,31096,10.344834472532058
241,level0_209,1,0,23112,10.048107242146072
242,level0_21,0,0,33856,10.429871515217972
243,level0_21,1,0,27209,10.211303079907536
244,level0_210,0,0,25392,10.14218944276619
245,level0_210,1,0,15990,9.679718805828
246,level0_211,0,0,20496,9.927985024136515
247,level0_212,0,0,16928,9.736724334658026
248,level0_212,1,0,23184,10.051217664560463
249,level0_213,0,0,7935,8.97903863296051
250,level0_213,1,0,11664,9.36426245424844
251,level0_214,0,0,22885,10.038236953087743
252,level0_214,1,0,20960,9.950371138434978
253,level0_215,0,0,15065,9.620129451564402
254,level0_215,1,0,52675,10.87189623867239
255,level0_216,0,0,21293,9.966133659186399
256,level0_216,1,0,17664,9.779283949076822
257,level0_217,0,0,18308,9.815093401773533
258,level0_217,1,0,22448,10.018956802342242
259,level0_218,0,0,31096,10.344834472532058
260,level0_218,1,0,28160,10.245657810271979
261,level0_219,0,0,25857,10.16033663631551
262,level0_219,1,0,21970,9.997433165378656
263,level0_22,0,0,10580,9.26672070541229
264,level0_22,1,0,28336,10.251888360022615
265,level0_220,0,0,35144,10.467209185655616
266,level0_220,1,0,38208,10.550800196752274
267,level0_220,2,0,32558,10.390778393168455
268,level0_221,0,0,13800,9.532423871145296
269,level0_221,1,0,14600,9.588776807696428
270,level0_222,0,0,32448,10.387394086950856
271,level0_223,0,0,42849,10.665437586530738
272,level0_223,1,0,40848,10.617613139481264
273,level0_224,0,0,240,5.480638923341991
274,level0_224,1,0,170,5.135798437050262
275,level0_224,2,0,323,5.777652323222656
276,level0_225,0,0,7980,8.984693690443855
277,level0_225,1,0,5368,8.588210678651517
278,level0_225,2,0,16986,9.740144754339955
279,level0_225,3,0,5141,8.545002892055505
280,level0_226,0,0,11970,9.390158798552019
281,level0_226,1,0,27416,10.218882063554444
282,level0_227,0,0,25842,10.159756354282166
283,level0_228,0,0,22632,10.027120112981404
284,level0_229,0,0,22338,10.014044543100772
285,level0_229,1,0,21160,9.959867885972235
286,level0_229,2,0,13161,9.485013189834323
287,level0_229,3,0,19044,9.85450737031441
288,level0_23,0,0,26928,10.200921916430588
289,level0_23,1,0,12177,9.407304205507007
290,level0_230,0,0,13910,9.540363284917488
291,level0_230,1,0,22448,10.018956802342242
292,level0_230,2,0,42849,10.665437586530738
293,level0_231,0,0,25921,10.162808729968926
294,level0_232,0,0,21648,9.982668350410568
295,level0_233,0,0,17388,9.763535592108683
296,level0_234,0,0,6384,8.761550139129644
297,level0_235,0,0,15870,9.672185813520455
298,level0_235,1,0,22080,10.00242750039103
299,level0_236,0,0,13054,9.476849879195163
300,level0_238,0,0,19435,9.874830843286324
301,level0_238,1,0,23322,10.057152400080279
302,level0_238,2,0,10920,9.298351249298896
303,level0_239,0,0,24288,10.097737680195356
304,level0_239,1,0,40874,10.618249443068482
305,level0_239,2,0,21252,9.964206287570834
306,level0_24,0,0,10332,9.243001154215731
307,level0_24,1,0,18400,9.820105943597078
308,level0_24,2,0,29670,10.297891713284868
309,level0_240,0,0,23493,10.064457783419048
310,level0_240,1,0,20930,9.948938815440046
311,level0_240,2,0,25696,10.154090616746489
312,level0_240,3,0,35223,10.469454557298322
313,level0_241,0,0,41160,10.625222189947985
314,level0_241,1,0,43148,10.67239134549532
315,level0_242,0,0,26880,10.199137794637085
316,level0_242,1,0,19044,9.85450737031441
317,level0_243,0,0,5865,8.676757761087575
318,level0_244,0,0,12696,9.449042262206245
319,level0_244,1,0,36432,10.50320278830352
320,level0_245,0,0,15300,9.635608107380527
321,level0_245,1,0,35190,10.46851723031563
322,level0_246,0,0,13685,9.52405562147478
323,level0_246,1,0,13800,9.532423871145296
324,level0_246,2,0,28060,10.242100353656452
325,level0_247,0,0,25392,10.14218944276619
326,level0_247,1,0,12852,9.461254720235749
327,level0_247,2,0,11224,9.325809621782296
328,level0_247,3,0,15870,9.672185813520455
329,level0_247,4,0,15870,9.672185813520455
330,level0_248,0,0,24633,10.111842286376898
331,level0_248,1,0,30447,10.323742746116928
332,level0_249,0,0,29568,10.294447974441411
333,level0_25,0,0,21492,9.975436051848712
334,level0_25,1,0,21472,9.974505039771408
335,level0_250,0,0,42624,10.660172753900062
336,level0_251,0,0,32384,10.385419752647138
337,level0_252,0,0,18144,9.806095206527479
338,level0_252,1,0,24288,10.097737680195356
339,level0_252,2,0,32256,10.38145935143104
340,level0_253,0,0,24528,10.107570601111595
341,level0_255,0,0,28160,10.245657810271979
342,level0_255,1,0,18832,9.843312829500057
343,level0_256,0,0,46552,10.748325246336506
344,level0_257,0,0,23345,10.058138107405037
345,level0_258,0,0,22218,10.008658050141667
346,level0_259,0,0,30447,10.323742746116928
347,level0_26,0,0,19900,9.898475010712584
348,level0_260,0,0,18666,9.834458966125691
349,level0_261,0,0,22218,10.008658050141667
350,level0_261,1,0,8906,9.094480485881647
351,level0_261,2,0,9660,9.175748927206564
352,level0_263,0,0,21594,9.980170777307086
353,level0_264,0,0,24794,10.118356967398093
354,level0_264,1,0,16100,9.686574550972555
355,level0_265,0,0,27840,10.234229114448356
356,level0_266,0,0,20355,9.921081860937079
357,level0_266,1,0,17595,9.775370049755686
358,level0_267,0,0,22484,10.020559224121966
359,level0_268,0,0,22880,10.038018445493734
360,level0_268,1,0,9844,9.194617411510947
361,level0_268,2,0,31096,10.344834472532058
362,level0_269,0,0,22338,10.014044543100772
363,level0_269,1,0,16974,9.739438040529622
364,level0_269,2,0,21316,9.967213243416673
365,level0_27,0,0,27695,10.229007170467204
366,level0_270,0,0,14145,9.557116483735667
367,level0_270,1,0,25520,10.147217737458726
368,level0_271,0,0,18788,9.840973647146885
369,level0_271,1,0,19320,9.86889610776651
370,level0_271,2,0,32448,10.387394086950856
371,level0_272,0,0,11096,9.314339961994667
372,level0_272,1,0,15147,9.625557771527026
373,level0_273,0,0,28060,10.242100353656452
374,level0_273,1,0,38208,10.550800196752274
375,level0_274,0,0,16113,9.68738167857357
376,level0_274,1,0,13161,9.485013189834323
377,level0_275,0,0,30912,10.338899737012245
378,level0_275,1,0,33807,10.42842316062046
379,level0_276,0,0,29054,10.276911446432829
380,level0_276,1,0,22139,10.005096038124226
381,level0_276,2,0,21114,9.95769160654964
382,level0_277,0,0,20010,9.903987427577778
383,level0_277,1,0,21114,9.95769160654964
384,level0_277,2,0,24400,10.102338411281293
385,level0_278,0,0,33966,10.433115303264715
386,level0_278,1,0,28336,10.251888360022615
387,level0_278,2,0,14960,9.613135251528469
388,level0_279,0,0,26167,10.172254353874754
389,level0_279,1,0,44178,10.695982206596772
390,level0_279,2,0,28336,10.251888360022615
391,level0_28,0,0,23506,10.0650109866928
392,level0_280,0,0,26450,10.183011437286446
393,level0_280,1,0,18012,9.798793481421463
394,level0_280,2,0,73863,11.20996730496593
395,level0_281,0,0,31096,10.344834472532058
396,level0_282,0,0,49059,10.8007789344005
397,level0_283,0,0,29414,10.28922603046026
398,level0_284,0,0,14454,9.578726471842927
399,level0_285,0,0,35952,10.48993999442511
400,level0_286,0,0,28336,10.251888360022615
401,level0_286,1,0,26928,10.200921916430588
402,level0_287,0,0,24794,10.118356967398093
403,level0_288,0,0,45267,10.720333569181761
404,level0_288,1,0,49284,10.805354763744559
405,level0_289,0,0,22880,10.038018445493734
406,level0_289,1,0,33580,10.421685930631531
407,level0_290,0,0,23345,10.058138107405037
408,level0_290,1,0,40710,10.614229041497024
409,level0_290,2,0,31096,10.344834472532058
410,level0_290,3,0,33327,10.414123158249833
411,level0_291,0,0,48576,10.790884860755302
412,level0_291,1,0,27950,10.238172478583245
413,level0_292,0,0,42816,10.6646671434879
414,level0_292,1,0,11592,9.358070484000518
415,level0_292,2,0,15990,9.679718805828
416,level0_293,0,0,81640,11.310074616923782
417,level0_293,1,0,25665,10.152883474994404
418,level0_293,2,0,37485,10.531696131937162
419,level0_294,0,0,65928,11.096318516443219
420,level0_294,1,0,28167,10.245906358926657
421,level0_295,0,0,16192,9.692272572087193
422,level0_295,1,0,29463,10.290890517825884
423,level0_295,2,0,17227,9.75423319944637
424,level0_296,0,0,28032,10.241101993736118
425,level0_296,1,0,25857,10.16033663631551
426,level0_297,0,0,31740,10.3653329940804
427,level0_298,0,0,16192,9.692272572087193
428,level0_298,1,0,16836,9.731274729890462
429,level0_299,0,0,11316,9.333972932421458
430,level0_299,1,0,24633,10.111842286376898
431,level0_3,0,0,1178,7.071573364211532
432,level0_3,1,0,1496,7.310550158534422
433,level0_3,2,0,702,6.553933404025811
434,level0_300,0,0,35144,10.467209185655616
435,level0_301,0,0,17958,9.795790977080754
436,level0_302,0,0,28336,10.251888360022615
437,level0_302,1,0,35200,10.468801361586188
438,level0_303,0,0,29624,10.296340122593449
439,level0_304,0,0,16113,9.68738167857357
440,level0_304,1,0,21170,9.96034036412891
441,level0_305,0,0,16675,9.721665870783825
442,level0_305,1,0,25208,10.13491668343711
443,level0_306,0,0,27840,10.234229114448356
444,level0_306,1,0,7728,8.952605375892354
445,level0_307,0,0,22218,10.008658050141667
446,level0_308,0,0,12397,9.425209786838147
447,level0_309,0,0,17030,9.742731773656734
448,level0_31,0,0,26864,10.198542379317322
449,level0_310,0,0,36864,10.514990744055563
450,level0_310,1,0,22338,10.014044543100772
451,level0_311,0,0,12177,9.407304205507007
452,level0_311,1,0,14820,9.603732898850078
453,level0_311,2,0,21648,9.982668350410568
454,level0_312,0,0,21970,9.997433165378656
455,level0_312,1,0,13054,9.476849879195163
456,level0_312,2,0,23184,10.051217664560463
457,level0_312,3,0,19642,9.885425409717719
458,level0_313,0,0,16675,9.721665870783825
459,level0_313,1,0,21293,9.966133659186399
460,level0_313,2,0,22139,10.005096038124226
461,level0_314,0,0,10700,9.277999020449997
462,level0_314,1,0,13910,9.540363284917488
463,level0_315,0,0,24633,10.111842286376898
464,level0_315,1,0,17030,9.742731773656734
465,level0_316,0,0,18995,9.851931065621725
466,level0_317,0,0,34661,10.453370414555645
467,level0_317,1,0,29568,10.294447974441411
468,level0_318,0,0,29624,10.296340122593449
469,level0_319,0,0,22218,10.008658050141667
470,level0_319,1,0,29890,10.305279255277984
471,level0_32,0,0,27048,10.205368344387722
472,level0_32,1,0,32448,10.387394086950856
473,level0_320,0,0,23493,10.064457783419048
474,level0_320,1,0,18819,9.842622276764853
475,level0_320,2,0,19688,9.887764592070893
476,level0_320,3,0,29744,10.300382709961225
477,level0_321,0,0,23184,10.051217664560463
478,level0_321,1,0,41004,10.621424901903293
479,level0_322,0,0,21970,9.997433165378656
480,level0_322,1,0,18400,9.820105943597078
481,level0_323,0,0,26496,10.184749057184986
482,level0_323,1,0,49284,10.805354763744559
483,level0_324,0,0,28336,10.251888360022615
484,level0_324,1,0,32956,10.40292861743548
485,level0_325,0,0,11508,9.35079772467144
486,level0_325,1,0,20930,9.948938815440046
487,level0_326,0,0,16836,9.731274729890462
488,level0_327,0,0,20148,9.91086030686554
489,level0_328,0,0,35742,10.484081746856743
490,level0_328,1,0,35328,10.472431129636767
491,level0_329,0,0,24633,10.111842286376898
492,level0_33,0,0,23506,10.0650109866928
493,level0_33,1,0,19152,9.860162427797754
494,level0_330,0,0,9095,9.115480090952223
495,level0_331,0,0,16478,9.709781436875536
496,level0_332,0,0,17120,9.748002649695733
497,level0_334,0,0,16900,9.735068900911164
498,level0_334,1,0,24288,10.097737680195356
499,level0_335,0,0,24674,10.11350533663141
500,level0_336,0,0,15622,9.656435456170243
501,level0_336,1,0,27820,10.233510465477433
502,level0_337,0,0,17388,9.763535592108683
503,level0_338,0,0,17388,9.763535592108683
504,level0_339,0,0,14030,9.548953173096507
505,level0_339,1,0,20010,9.903987427577778
506,level0_34,0,0,16836,9.731274729890462
507,level0_34,1,0,18515,9.826336493347712
508,level0_340,0,0,11500,9.350102314351341
509,level0_340,1,0,14950,9.612466578818832
510,level0_341,0,0,18819,9.842622276764853
511,level0_342,0,0,9844,9.194617411510947
512,level0_343,0,0,17595,9.775370049755686
513,level0_343,1,0,22218,10.008658050141667
514,level0_343,2,0,17161,9.750394646402302
515,level0_345,0,0,22218,10.008658050141667
516,level0_346,0,0,7452,8.916237731721479
517,level0_346,1,0,4590,8.431635303054591
518,level0_346,2,0,13225,9.4898642567265
519,level0_347,0,0,23345,10.058138107405037
520,level0_349,0,0,21114,9.95769160654964
521,level0_35,0,0,14766,9.60008251961911
522,level0_35,1,0,10736,9.281357859211463
523,level0_35,2,0,10700,9.277999020449997
524,level0_35,3,0,7728,8.952605375892354
525,level0_350,0,0,14651,9.592263871501313
526,level0_351,0,0,15870,9.672185813520455
527,level0_351,1,0,14145,9.557116483735667
528,level0_353,0,0,24477,10.10548918009691
529,level0_353,1,0,46299,10.742875641568942
530,level0_354,0,0,26864,10.198542379317322
531,level0_355,0,0,24633,10.111842286376898
532,level0_355,1,0,23424,10.061516416761037
533,level0_355,2,0,33856,10.429871515217972
534,level0_356,0,0,40304,10.604205998592391
535,level0_357,0,0,9936,9.20391980417326
536,level0_357,1,0,10974,9.30328411761892
537,level0_358,0,0,13054,9.476849879195163
538,level0_359,0,0,15515,9.64956257688248
539,level0_36,0,0,8487,9.046290859969677
540,level0_36,1,0,10580,9.26672070541229
541,level0_36,2,0,12696,9.449042262206245
542,level0_36,3,0,21252,9.964206287570834
543,level0_36,4,0,23690,10.07280829715283
544,level0_360,0,0,25392,10.14218944276619
545,level0_360,1,0,13000,9.472704636443673
546,level0_361,0,0,18832,9.843312829500057
547,level0_361,1,0,14950,9.612466578818832
548,level0_362,0,0,18083,9.80272754938498
549,level0_362,1,0,15515,9.64956257688248
550,level0_363,0,0,23112,10.048107242146072
551,level0_363,1,0,21114,9.95769160654964
552,level0_364,0,0,14076,9.552226498441476
553,level0_364,1,0,14076,9.552226498441476
554,level0_364,2,0,20020,9.90448705286921
555,level0_365,0,0,700,6.551080335043404
556,level0_366,0,0,20240,9.915416123401402
557,level0_366,1,0,17690,9.780754787153832
558,level0_367,0,0,14812,9.603192942033504
559,level0_367,1,0,27071,10.206218323189427
560,level0_368,0,0,19008,9.852615222162372
561,level0_368,1,0,29463,10.290890517825884
562,level0_37,0,0,27950,10.238172478583245
563,level0_371,0,0,13176,9.486152271857476
564,level0_371,1,0,16900,9.735068900911164
565,level0_371,2,0,8855,9.088737550216933
566,level0_372,0,0,14168,9.55874117946267
567,level0_372,1,0,20240,9.915416123401402
568,level0_372,2,0,17958,9.795790977080754
569,level0_372,3,0,7140,8.87346805533363
570,level0_372,4,0,12305,9.417760962825156
571,level0_373,0,0,22185,10.00717166381301
572,level0_374,0,0,19044,9.85450737031441
573,level0_375,0,0,13000,9.472704636443673
574,level0_375,1,0,13800,9.532423871145296
575,level0_375,2,0,12410,9.426257878198653
576,level0_375,3,0,27999,10.239924074233857
577,level0_375,4,0,26108,10.169997059755108
578,level0_376,0,0,8464,9.043577154098081
579,level0_376,1,0,18300,9.814656338829513
580,level0_376,2,0,14884,9.608042089466514
581,level0_377,0,0,23409,10.06087584278487
582,level0_377,1,0,16371,9.703266755854342
583,level0_377,2,0,16790,9.728538750071586
584,level0_378,0,0,13284,9.494315582496638
585,level0_378,1,0,19642,9.885425409717719
586,level0_379,0,0,6527,8.783702698635217
587,level0_379,1,0,8487,9.046290859969677
588,level0_38,0,0,15990,9.679718805828
589,level0_38,1,0,8400,9.035986984831405
590,level0_38,2,0,9108,9.11690842718363
591,level0_38,3,0,15860,9.671555495188839
592,level0_380,0,0,14820,9.603732898850078
593,level0_381,0,0,20148,9.91086030686554
594,level0_381,1,0,13908,9.540219493127752
595,level0_381,2,0,14168,9.55874117946267
596,level0_381,3,0,22338,10.014044543100772
597,level0_382,0,0,14017,9.548026157663058
598,level0_382,1,0,31096,10.344834472532058
599,level0_382,2,0,15870,9.672185813520455
600,level0_382,3,0,17030,9.742731773656734
601,level0_383,0,0,17940,9.794788135612787
602,level0_383,1,0,28032,10.241101993736118
603,level0_383,2,0,21888,9.993693820422276
604,level0_384,0,0,22218,10.008658050141667
605,level0_385,0,0,8132,9.003562174748238
606,level0_386,0,0,16100,9.686574550972555
607,level0_386,1,0,45954,10.735396175137648
608,level0_387,0,0,24104,10.090133080810137
609,level0_388,0,0,11781,9.37424334324612
610,level0_388,1,0,24633,10.111842286376898
611,level0_389,0,0,29376,10.287933293420217
612,level0_39,0,0,18515,9.826336493347712
613,level0_39,1,0,24477,10.10548918009691
614,level0_390,0,0,12696,9.449042262206245
615,level0_391,0,0,20148,9.91086030686554
616,level0_391,1,0,29376,10.287933293420217
617,level0_392,0,0,14904,9.609384912281424
618,level0_392,1,0,41193,10.626023617989862
619,level0_393,0,0,47362,10.765575498395966
620,level0_394,0,0,42624,10.660172753900062
621,level0_395,0,0,21252,9.964206287570834
622,level0_395,1,0,11960,9.389323027504624
623,level0_396,0,0,10920,9.298351249298896
624,level0_396,1,0,19890,9.897972371848018
625,level0_397,0,0,28336,10.251888360022615
626,level0_398,0,0,11165,9.320539164274258
627,level0_399,0,0,35770,10.484864832253063
628,level0_399,1,0,15939,9.676524215119054
629,level0_4,0,0,5412,8.59637398929068
630,level0_40,0,0,27462,10.220558509881696
631,level0_400,0,0,16100,9.686574550972555
632,level0_400,1,0,13161,9.485013189834323
633,level0_400,2,0,21091,9.956601688185614
634,level0_400,3,0,14145,9.557116483735667
635,level0_400,4,0,45954,10.735396175137648
636,level0_401,0,0,22484,10.020559224121966
